año,genres,horas
2011,3D Vision,46543.4
2009,3D Vision,35220.36666666667
2005,3D Vision,16296.816666666666
2015,3D Vision,2650.883333333333
2016,3D Vision,2608.55
2008,3D Vision,1743.7
2007,3D Vision,1662.4166666666667
2015,4 Player Local,591507.7666666666
2011,4 Player Local,246502.58333333334
2017,4 Player Local,107534.05
2016,4 Player Local,53728.083333333336
2012,4 Player Local,21344.116666666665
2013,4 Player Local,16229.033333333333
2010,4 Player Local,14000.083333333334
2014,4 Player Local,8782.3
2008,4 Player Local,252.85
2004,4 Player Local,57.949999999999996
2010,4X,1353123.4833333334
2013,4X,236545.48333333334
2006,4X,83949.88333333333
2016,4X,80989.05
2012,4X,55705.51666666667
2004,4X,50131.7
2014,4X,49440.333333333336
2007,4X,15527.133333333333
2005,4X,12058.75
2008,4X,11287.6
2015,4X,10415.95
2001,4X,8425.616666666667
2011,4X,4995.816666666667
2009,4X,3436.7
2017,4X,168.36666666666667
1994,4X,22.666666666666664
1996,4X,21.216666666666665
2003,4X,0.6499999999999997
2012,6DOF,448.31666666666666
2005,6DOF,318.4
2010,6DOF,247.05
2013,6DOF,243.81666666666666
2015,6DOF,143.68333333333334
2016,6DOF,138.28333333333333
2014,6DOF,93.11666666666667
1995,6DOF,50.2
2003,6DOF,37.63333333333333
2001,6DOF,23.799999999999997
2012,Abstract,17401.38333333333
2013,Abstract,10901.133333333333
2014,Abstract,3564.4333333333334
2010,Abstract,1641.5
2015,Abstract,1390.8833333333332
2011,Abstract,1323.9666666666667
2016,Abstract,216.61666666666667
2007,Abstract,126.58333333333334
2017,Abstract,14.600000000000001
2009,Abstract,5.5
2012,Action,12931978.733333332
2006,Action,7364517.1
2011,Action,2549960.7333333334
2013,Action,2045447.55
2004,Action,1855245.1
2009,Action,1686523.5999999999
2015,Action,981438.0166666666
2017,Action,838899.6166666667
2010,Action,665186.8333333334
2016,Action,462638.48333333334
2014,Action,425255.8
2000,Action,285130.9666666667
2008,Action,216634.36666666667
2003,Action,94937.46666666666
2005,Action,87431.86666666667
2007,Action,86267.4
1998,Action,44182.433333333334
2002,Action,26545.816666666666
1999,Action,16008.733333333334
2001,Action,7280.633333333333
1997,Action,4400.916666666667
1993,Action,3047.7166666666667
1995,Action,1290.6666666666667
1994,Action,1102.7666666666667
1996,Action,466.46666666666664
1990,Action,304.43333333333334
1988,Action,266.68333333333334
1983,Action,57.88333333333333
2018,Action,36.71666666666667
1991,Action,22.583333333333332
1992,Action,19.400000000000002
1989,Action,10.116666666666665
1984,Action,6.3999999999999995
2012,Action RPG,1323700.3666666667
2015,Action RPG,746381.55
2010,Action RPG,567138.4333333333
2011,Action RPG,285984.51666666666
2009,Action RPG,189701.16666666666
2014,Action RPG,166892.75
2016,Action RPG,158207.95
2013,Action RPG,106714.75
2007,Action RPG,85531.53333333333
2008,Action RPG,47802.01666666666
2002,Action RPG,26545.816666666666
2004,Action RPG,9864.933333333332
2000,Action RPG,9431.216666666667
2006,Action RPG,7358.299999999999
2003,Action RPG,2331.4333333333334
2005,Action RPG,1815.2166666666667
2001,Action RPG,607.0
1996,Action RPG,304.65
2017,Action RPG,59.18333333333333
2018,Action RPG,0.35
2013,Action-Adventure,89610.66666666667
2012,Action-Adventure,87004.56666666667
2010,Action-Adventure,52990.933333333334
2011,Action-Adventure,37819.833333333336
2016,Action-Adventure,22062.766666666666
2005,Action-Adventure,16296.816666666666
2008,Action-Adventure,14542.783333333333
2009,Action-Adventure,12417.3
2014,Action-Adventure,9140.8
2007,Action-Adventure,6591.133333333333
2015,Action-Adventure,6396.866666666667
2006,Action-Adventure,1157.6
2003,Action-Adventure,835.5166666666667
2001,Action-Adventure,192.51666666666668
2017,Action-Adventure,5.833333333333334
2006,Adventure,7364517.1
2011,Adventure,2549960.7333333334
2009,Adventure,1686523.5999999999
2013,Adventure,1335168.9166666667
2012,Adventure,1323700.3666666667
2015,Adventure,981438.0166666666
2017,Adventure,838899.6166666667
2010,Adventure,648427.4833333333
2016,Adventure,462638.48333333334
2008,Adventure,216634.36666666667
2014,Adventure,186695.6
2004,Adventure,178657.8
2005,Adventure,87431.86666666667
2007,Adventure,86267.4
2003,Adventure,47769.85
1998,Adventure,44182.433333333334
2002,Adventure,26545.816666666666
1999,Adventure,16008.733333333334
2000,Adventure,9431.216666666667
2001,Adventure,7280.633333333333
1997,Adventure,5970.583333333333
1993,Adventure,3047.7166666666667
1995,Adventure,1132.6499999999999
1996,Adventure,494.4166666666667
1992,Adventure,282.93333333333334
1988,Adventure,266.68333333333334
1994,Adventure,166.1
1987,Adventure,124.61666666666666
1989,Adventure,84.73333333333335
1990,Adventure,71.71666666666667
1983,Adventure,57.88333333333333
1991,Adventure,22.583333333333332
1984,Adventure,6.3999999999999995
2018,Adventure,0.35
2016,Agriculture,115557.66666666667
2013,Agriculture,27184.8
2014,Agriculture,25011.816666666666
2010,Agriculture,2655.0
2015,Agriculture,2220.7
2012,Agriculture,274.1333333333333
2011,Agriculture,114.61666666666666
2009,Agriculture,111.23333333333333
2008,Agriculture,83.4
2007,Agriculture,37.15
2012,Aliens,247720.0
2013,Aliens,207792.88333333333
2004,Aliens,178657.8
2016,Aliens,84233.78333333333
2015,Aliens,72918.21666666666
2008,Aliens,56573.7
2014,Aliens,49440.333333333336
1998,Aliens,44182.433333333334
2007,Aliens,42592.13333333333
2006,Aliens,32680.816666666666
2011,Aliens,26274.733333333334
2010,Aliens,24399.783333333333
1999,Aliens,12109.083333333334
2001,Aliens,7280.633333333333
2009,Aliens,6987.433333333333
1993,Aliens,3047.7166666666667
2000,Aliens,1454.45
1997,Aliens,1160.6333333333334
1995,Aliens,830.6
2017,Aliens,262.76666666666665
2003,Aliens,99.61666666666666
2005,Aliens,44.766666666666666
2013,Alternate History,125800.08333333333
2012,Alternate History,65733.86666666667
2010,Alternate History,52990.933333333334
2007,Alternate History,44692.71666666667
2014,Alternate History,40831.53333333333
2016,Alternate History,38568.95
2008,Alternate History,25973.216666666667
2011,Alternate History,19132.966666666667
2009,Alternate History,13490.75
2015,Alternate History,5151.15
2001,Alternate History,1708.6333333333332
2004,Alternate History,457.81666666666666
1995,Alternate History,380.26666666666665
2002,Alternate History,9.933333333333332
2009,America,164133.28333333333
2012,America,65733.86666666667
2011,America,46543.4
2015,America,32190.0
2013,America,19356.63333333333
2014,America,18799.85
2016,America,11762.483333333334
2010,America,7102.066666666667
2003,America,2068.516666666667
1988,America,266.68333333333334
2006,Animation & Modeling,7364517.1
2013,Animation & Modeling,21616.899999999998
2015,Animation & Modeling,19140.116666666665
2016,Animation & Modeling,705.5333333333334
2014,Animation & Modeling,619.7666666666667
2012,Animation & Modeling,189.49999999999997
2008,Animation & Modeling,34.3
2015,Animation &amp; Modeling,19140.116666666665
2013,Animation &amp; Modeling,2928.0666666666666
2016,Animation &amp; Modeling,705.5333333333334
2014,Animation &amp; Modeling,619.7666666666667
2012,Animation &amp; Modeling,189.49999999999997
2008,Animation &amp; Modeling,34.3
2011,Anime,285984.51666666666
2015,Anime,161913.76666666666
2014,Anime,125517.18333333333
2017,Anime,107534.05
2012,Anime,101396.68333333333
2016,Anime,45486.36666666667
2013,Anime,22308.866666666665
2010,Anime,9181.016666666666
2003,Anime,4980.85
2007,Anime,2133.633333333333
2008,Anime,1683.15
2005,Anime,1564.0666666666666
2009,Anime,1467.3166666666666
2006,Anime,785.3
2004,Anime,217.73333333333335
2001,Anime,11.25
2011,Arcade,115323.83333333333
2014,Arcade,57575.76666666666
2016,Arcade,53728.083333333336
2012,Arcade,44311.36666666667
2009,Arcade,35220.36666666667
2015,Arcade,32190.0
2008,Arcade,28730.783333333333
2013,Arcade,25663.8
2010,Arcade,19949.95
2007,Arcade,4670.933333333333
2006,Arcade,4399.7
2017,Arcade,4297.066666666667
2005,Arcade,1079.05
2003,Arcade,509.71666666666664
1995,Arcade,71.66666666666666
2002,Arcade,60.53333333333333
1983,Arcade,57.88333333333333
2011,Arena Shooter,270164.56666666665
2014,Arena Shooter,122103.75
2010,Arena Shooter,17161.45
2007,Arena Shooter,10936.199999999999
2004,Arena Shooter,5751.55
2000,Arena Shooter,3422.666666666667
2015,Arena Shooter,3107.983333333333
2001,Arena Shooter,2573.733333333333
2013,Arena Shooter,2287.7166666666667
2016,Arena Shooter,1537.4333333333334
1999,Arena Shooter,1299.8833333333332
2005,Arena Shooter,1216.2333333333333
1997,Arena Shooter,1109.4
2012,Arena Shooter,783.9166666666666
2017,Arena Shooter,220.56666666666666
2014,Artificial Intelligence,541.4166666666666
2015,Artificial Intelligence,22.283333333333335
2016,Artificial Intelligence,15.45
2000,Assassin,285130.9666666667
2012,Assassin,123577.81666666667
2014,Assassin,103635.15
2013,Assassin,88825.76666666666
2010,Assassin,52990.933333333334
2011,Assassin,37819.833333333336
2006,Assassin,20965.55
2008,Assassin,14542.783333333333
2015,Assassin,8560.316666666666
2016,Assassin,7588.633333333333
2002,Assassin,2676.15
2004,Assassin,743.6
2009,Assassin,414.31666666666666
2017,Assassin,107.06666666666666
2012,Asynchronous Multiplayer,12486.15
2011,Asynchronous Multiplayer,6607.5
2015,Asynchronous Multiplayer,1191.2833333333333
2014,Asynchronous Multiplayer,451.85
2016,Asynchronous Multiplayer,91.53333333333333
2013,Asynchronous Multiplayer,66.16666666666667
2011,Atmospheric,2549960.7333333334
2004,Atmospheric,1855245.1
2012,Atmospheric,1323700.3666666667
2015,Atmospheric,981438.0166666666
2017,Atmospheric,838899.6166666667
2013,Atmospheric,600538.9666666667
2010,Atmospheric,567138.4333333333
2016,Atmospheric,462638.48333333334
2014,Atmospheric,425255.8
2008,Atmospheric,216634.36666666667
2009,Atmospheric,164133.28333333333
2003,Atmospheric,94937.46666666666
2007,Atmospheric,86267.4
2005,Atmospheric,52993.73333333333
1998,Atmospheric,44182.433333333334
2006,Atmospheric,32680.816666666666
2002,Atmospheric,26545.816666666666
1999,Atmospheric,12109.083333333334
2000,Atmospheric,9431.216666666667
2001,Atmospheric,7280.633333333333
1997,Atmospheric,5970.583333333333
1993,Atmospheric,3047.7166666666667
1996,Atmospheric,494.4166666666667
1995,Atmospheric,139.46666666666667
1990,Atmospheric,71.71666666666667
1992,Atmospheric,41.53333333333333
1994,Atmospheric,12.7
1989,Atmospheric,10.116666666666665
1991,Atmospheric,2.7666666666666666
2014,Audio Production,6502.75
2013,Audio Production,1284.4833333333333
2007,Audio Production,184.29999999999998
2015,Audio Production,78.48333333333333
2016,Audio Production,4.550000000000001
2017,Base Building,635446.1166666667
2012,Base Building,247720.0
2013,Base Building,208546.03333333333
2015,Base Building,154695.98333333334
2009,Base Building,81593.76666666666
2010,Base Building,74045.53333333333
2008,Base Building,60785.98333333333
2016,Base Building,51272.98333333333
2011,Base Building,36432.25
2006,Base Building,33090.01666666667
2014,Base Building,19088.95
2007,Base Building,9243.15
2004,Base Building,6871.766666666666
2001,Base Building,3113.9333333333334
1993,Base Building,3047.7166666666667
1995,Base Building,830.6
2003,Base Building,802.1833333333333
2014,Based On A Novel,103635.15
2011,Based On A Novel,80573.08333333333
2012,Based On A Novel,46506.21666666667
2008,Based On A Novel,41229.933333333334
2007,Based On A Novel,16271.716666666667
2013,Based On A Novel,8843.333333333334
2006,Based On A Novel,696.9166666666666
1996,Based On A Novel,494.4166666666667
2015,Based On A Novel,182.4333333333333
2016,Based On A Novel,151.28333333333333
2015,Basketball,35419.63333333333
2010,Basketball,2931.516666666666
2016,Basketball,441.3666666666667
2014,Basketball,119.83333333333331
2012,Batman,87004.56666666667
2013,Batman,65107.48333333333
2010,Batman,46731.61666666667
2015,Batman,34413.166666666664
2014,Batman,9301.433333333332
2008,Batman,2809.1
2016,Batman,444.96666666666664
2012,Beat 'em up,114029.66666666667
2017,Beat 'em up,107534.05
2014,Beat 'em up,83116.68333333333
2013,Beat 'em up,65107.48333333333
2010,Beat 'em up,46731.61666666667
2015,Beat 'em up,41329.38333333333
2016,Beat 'em up,13259.316666666666
2009,Beat 'em up,11678.266666666666
2008,Beat 'em up,4872.0
2006,Beat 'em up,1112.9166666666667
2005,Beat 'em up,318.4
1994,Beat 'em up,128.28333333333333
2011,Benchmark,26274.733333333334
2007,Benchmark,15427.683333333332
2014,Benchmark,5488.816666666667
2015,Benchmark,4051.1
2008,Benchmark,3041.7166666666667
2012,Benchmark,105.46666666666667
2013,Benchmark,30.999999999999996
2016,Blood,120874.53333333333
2015,Blood,45430.816666666666
2006,Blood,42691.45
2013,Blood,34657.23333333333
2010,Blood,24399.783333333333
2014,Blood,13721.699999999999
2011,Blood,10524.416666666666
2009,Blood,5485.833333333333
2017,Blood,59.18333333333333
2014,Board Game,42885.2
2013,Board Game,30366.233333333334
2012,Board Game,24865.433333333334
2011,Board Game,15567.05
2015,Board Game,12564.0
2010,Board Game,6489.35
2016,Board Game,2356.7166666666667
2017,Board Game,1513.5833333333333
2008,Board Game,58.43333333333332
2011,Bowling,3808.35
2015,Bowling,459.43333333333334
2009,Bowling,376.21666666666664
2008,Bowling,11.533333333333331
2006,Building,7364517.1
2011,Building,2549960.7333333334
2013,Building,1335168.9166666667
2017,Building,635446.1166666667
2016,Building,462638.48333333334
2015,Building,288898.98333333334
2012,Building,119754.95
2009,Building,105259.18333333333
2014,Building,97147.35
2003,Building,22528.666666666668
2007,Building,15878.6
2004,Building,6871.766666666666
2008,Building,4251.233333333334
2002,Building,2935.55
1999,Building,1897.8
2010,Building,63.949999999999996
2012,Bullet Hell,331505.0833333333
2011,Bullet Hell,270164.56666666665
2015,Bullet Hell,55063.15
2016,Bullet Hell,22062.766666666666
2014,Bullet Hell,18216.816666666666
2010,Bullet Hell,8179.633333333333
2009,Bullet Hell,5485.833333333333
2007,Bullet Hell,1231.95
2013,Bullet Hell,765.5166666666667
2017,Bullet Hell,95.38333333333333
1994,Bullet Hell,32.3
2012,Bullet Time,52697.083333333336
2013,Bullet Time,12196.616666666667
2011,Bullet Time,12048.25
2009,Bullet Time,8692.433333333332
2014,Bullet Time,8351.5
2010,Bullet Time,7961.666666666667
2005,Bullet Time,5765.733333333334
2016,Bullet Time,5555.466666666666
2001,Bullet Time,4695.983333333334
2003,Bullet Time,3273.516666666667
2007,Bullet Time,635.1833333333333
2015,Bullet Time,136.01666666666668
2006,Bullet Time,19.933333333333334
2014,CRPG,32247.733333333334
2015,CRPG,23363.75
2013,CRPG,13123.466666666667
1998,CRPG,6303.133333333333
1997,CRPG,5970.583333333333
2001,CRPG,1423.6333333333332
2017,CRPG,1411.1166666666668
2011,CRPG,1047.1333333333332
2012,CRPG,1024.6166666666666
2002,CRPG,758.8833333333333
2016,CRPG,321.4666666666667
1988,CRPG,232.7
2009,CRPG,176.78333333333333
2015,Capitalism,264881.98333333334
2003,Capitalism,94937.46666666666
2011,Capitalism,47114.083333333336
2008,Capitalism,11287.6
2010,Capitalism,9181.016666666666
2016,Capitalism,2722.45
2014,Capitalism,78.08333333333333
1995,Capitalism,16.333333333333336
2010,Card Game,32366.666666666668
2013,Card Game,30366.233333333334
2012,Card Game,24865.433333333334
2015,Card Game,22621.63333333333
2011,Card Game,15567.05
2014,Card Game,10100.866666666667
2016,Card Game,4457.583333333333
2017,Card Game,1513.5833333333333
2008,Card Game,256.2833333333333
2003,Card Game,65.63333333333333
2006,Card Game,19.21666666666667
2005,Card Game,5.499999999999999
2001,Card Game,2.349999999999999
2012,Cartoon,161806.66666666666
2014,Cartoon,55462.36666666667
2009,Cartoon,29174.45
2013,Cartoon,22308.866666666665
2011,Cartoon,8207.883333333333
2016,Cartoon,1823.95
2015,Cartoon,1310.9999999999998
1983,Cartoon,57.88333333333333
2014,Cartoony,122103.75
2012,Cartoony,70827.08333333333
2013,Cartoony,20862.05
2015,Cartoony,20174.266666666666
2011,Cartoony,19378.033333333333
2005,Cartoony,16296.816666666666
2010,Cartoony,1544.8833333333332
2016,Cartoony,277.1666666666667
2017,Cartoony,19.083333333333332
2017,Casual,838899.6166666667
2015,Casual,746381.55
2016,Casual,462638.48333333334
2012,Casual,331505.0833333333
2011,Casual,285984.51666666666
2014,Casual,122103.75
2013,Casual,113698.7
2009,Casual,105259.18333333333
2008,Casual,56573.7
2010,Casual,40425.816666666666
1999,Casual,16008.733333333334
2006,Casual,15064.166666666666
2007,Casual,4670.933333333333
2002,Casual,1775.7666666666667
2005,Casual,940.3666666666667
2000,Casual,836.65
1994,Casual,590.05
1997,Casual,278.81666666666666
1996,Casual,278.05
2004,Casual,217.73333333333335
1993,Casual,177.11666666666665
1998,Casual,89.58333333333333
1983,Casual,57.88333333333333
1995,Casual,52.8
2001,Casual,49.98333333333333
1992,Casual,41.53333333333333
1991,Casual,22.583333333333332
2003,Casual,17.883333333333333
1984,Casual,6.3999999999999995
2010,Character Action Game,27596.716666666667
2014,Character Action Game,14720.066666666666
2013,Character Action Game,13517.583333333334
2008,Character Action Game,4872.0
2015,Character Action Game,2210.1666666666665
2009,Character Action Game,1467.3166666666666
2006,Character Action Game,1112.9166666666667
2012,Character Action Game,722.6333333333333
2016,Character Action Game,347.23333333333335
2010,Character Customization,567138.4333333333
2011,Character Customization,405461.0
2012,Character Customization,247720.0
2013,Character Customization,207792.88333333333
2015,Character Customization,161913.76666666666
2016,Character Customization,158207.95
2014,Character Customization,125517.18333333333
2009,Character Customization,105259.18333333333
2007,Character Customization,85531.53333333333
2008,Character Customization,47802.01666666666
2005,Character Customization,40182.9
2017,Character Customization,27656.5
2002,Character Customization,26545.816666666666
2003,Character Customization,21858.733333333334
2011,Chess,6607.5
2015,Chess,1191.2833333333333
2016,Chess,84.55
2014,Chess,29.183333333333334
2017,Chess,6.516666666666666
2012,Chess,0.9166666666666666
2013,Chess,0.0833333333333332
2011,Choices Matter,80573.08333333333
2012,Choices Matter,79549.55
2010,Choices Matter,72454.0
2015,Choices Matter,55063.15
2008,Choices Matter,47802.01666666666
2003,Choices Matter,47769.85
2009,Choices Matter,42397.05
2005,Choices Matter,40182.9
2013,Choices Matter,30196.0
2014,Choices Matter,28715.7
2016,Choices Matter,1759.8333333333333
2017,Choices Matter,1281.0666666666666
2002,Choices Matter,1268.4499999999998
2007,Choices Matter,1202.9333333333334
2001,Choices Matter,607.0
1996,Choices Matter,0.0333333333333332
2012,Choose Your Own Adventure,79549.55
2013,Choose Your Own Adventure,30196.0
2014,Choose Your Own Adventure,19005.45
2005,Choose Your Own Adventure,7135.016666666666
2015,Choose Your Own Adventure,5469.416666666667
2017,Choose Your Own Adventure,1281.0666666666666
2016,Choose Your Own Adventure,821.75
2010,Choose Your Own Adventure,247.05
2011,Choose Your Own Adventure,185.61666666666667
2015,Cinematic,136261.76666666666
2012,Cinematic,93214.71666666666
2013,Cinematic,89610.66666666667
2010,Cinematic,72454.0
2011,Cinematic,34901.166666666664
2006,Cinematic,32680.816666666666
2014,Cinematic,13917.25
2001,Cinematic,4695.983333333334
1997,Cinematic,4400.916666666667
2003,Cinematic,3273.516666666667
2017,Cinematic,1.6333333333333333
1996,Cinematic,0.0333333333333332
2013,City Builder,208546.03333333333
2015,City Builder,154695.98333333334
2012,City Builder,95850.3
2009,City Builder,81593.76666666666
2014,City Builder,66177.51666666666
2011,City Builder,47114.083333333336
2003,City Builder,22528.666666666668
2016,City Builder,9771.45
2010,City Builder,4798.366666666667
2001,City Builder,3113.9333333333334
2002,City Builder,2935.55
1999,City Builder,2270.9333333333334
2008,City Builder,975.5833333333334
2005,City Builder,385.16666666666663
2006,City Builder,204.76666666666668
2017,City Builder,150.81666666666666
2009,Class-Based,495627.8333333333
2012,Class-Based,311055.8
2010,Class-Based,101730.43333333333
2015,Class-Based,72918.21666666666
1999,Class-Based,16008.733333333334
2011,Class-Based,15577.6
2016,Class-Based,14797.9
2003,Class-Based,12606.25
2014,Class-Based,2201.4666666666667
2017,Class-Based,220.56666666666666
1995,Class-Based,86.19999999999999
2010,Classic,1353123.4833333334
2000,Classic,285130.9666666667
2013,Classic,208546.03333333333
2004,Classic,178657.8
2009,Classic,164133.28333333333
2008,Classic,124493.63333333333
2005,Classic,87431.86666666667
2007,Classic,86267.4
2006,Classic,83949.88333333333
2014,Classic,57575.76666666666
2003,Classic,47769.85
2011,Classic,46543.4
1998,Classic,44182.433333333334
2016,Classic,30900.716666666667
2002,Classic,26545.816666666666
2015,Classic,23363.75
2012,Classic,21344.116666666665
1999,Classic,16008.733333333334
2001,Classic,8425.616666666667
1997,Classic,5970.583333333333
1993,Classic,3047.7166666666667
1995,Classic,1290.6666666666667
1994,Classic,1102.7666666666667
1996,Classic,494.4166666666667
1990,Classic,304.43333333333334
1992,Classic,282.93333333333334
1988,Classic,266.68333333333334
1987,Classic,124.61666666666666
1989,Classic,84.73333333333335
2017,Classic,79.91666666666667
1983,Classic,57.88333333333333
1991,Classic,22.583333333333332
1984,Classic,6.3999999999999995
2015,Clicker,549798.65
2016,Clicker,8410.333333333334
2006,Clicker,785.3
2010,Clicker,414.46666666666664
2012,Co-op,12931978.733333332
2006,Co-op,7364517.1
2011,Co-op,2549960.7333333334
2013,Co-op,2045447.55
2009,Co-op,1686523.5999999999
2010,Co-op,1353123.4833333334
2015,Co-op,981438.0166666666
2017,Co-op,838899.6166666667
2016,Co-op,462638.48333333334
2014,Co-op,425255.8
2008,Co-op,216634.36666666667
2005,Co-op,87431.86666666667
2004,Co-op,47209.7
2007,Co-op,40574.916666666664
1999,Co-op,16008.733333333334
2003,Co-op,12606.25
2000,Co-op,3422.666666666667
2002,Co-op,2935.55
1997,Co-op,1109.4
2001,Co-op,972.55
1998,Co-op,530.0
1995,Co-op,50.2
2009,Co-op Campaign,100427.33333333333
2008,Co-op Campaign,25973.216666666667
2013,Co-op Campaign,25643.38333333333
2015,Co-op Campaign,1310.9999999999998
2016,Co-op Campaign,409.7
2010,Cold War,143600.48333333334
2011,Cold War,47114.083333333336
2014,Cold War,40829.55
2013,Cold War,19356.63333333333
2012,Cold War,8708.966666666667
2009,Cold War,6327.8
2006,Cold War,3635.733333333333
2015,Cold War,1310.9999999999998
2016,Cold War,770.95
1995,Cold War,380.26666666666665
2005,Cold War,59.666666666666664
1992,Cold War,41.53333333333333
1997,Cold War,25.349999999999998
2012,Colorful,200963.75
2009,Colorful,47558.5
2011,Colorful,34181.65
2014,Colorful,33582.083333333336
2008,Colorful,28730.783333333333
2015,Colorful,20428.9
2013,Colorful,16229.033333333333
2017,Colorful,8248.35
2010,Colorful,8179.633333333333
2016,Colorful,3784.483333333333
2005,Colorful,3136.383333333333
2006,Colorful,785.3
2006,Comedy,7364517.1
2012,Comedy,1323700.3666666667
2015,Comedy,981438.0166666666
2009,Comedy,495627.8333333333
2011,Comedy,436019.8333333333
2010,Comedy,230436.11666666667
2013,Comedy,207792.88333333333
2014,Comedy,166892.75
2007,Comedy,86267.4
2008,Comedy,56573.7
2005,Comedy,52993.73333333333
2003,Comedy,34997.933333333334
2016,Comedy,14797.9
2017,Comedy,8248.35
2004,Comedy,6871.766666666666
1999,Comedy,4781.633333333333
1997,Comedy,4400.916666666667
1998,Comedy,2533.0833333333335
2001,Comedy,972.55
2002,Comedy,606.0333333333333
2000,Comedy,70.66666666666667
1995,Comedy,52.8
1994,Comedy,12.7
1996,Comedy,7.549999999999999
2012,Comic Book,87004.56666666667
2013,Comic Book,65107.48333333333
2010,Comic Book,46731.61666666667
2015,Comic Book,34413.166666666664
2009,Comic Book,33590.8
2014,Comic Book,9301.433333333332
2008,Comic Book,2809.1
2016,Comic Book,2291.633333333333
2002,Comic Book,564.8833333333333
2005,Comic Book,338.6333333333333
2012,Competitive,12931978.733333332
2004,Competitive,1855245.1
2015,Competitive,591507.7666666666
2000,Competitive,285130.9666666667
2008,Competitive,216634.36666666667
2013,Competitive,208546.03333333333
2014,Competitive,186695.6
2016,Competitive,53728.083333333336
2007,Competitive,40574.916666666664
2011,Competitive,36432.25
2010,Competitive,17161.45
1999,Competitive,16008.733333333334
2009,Competitive,6028.866666666667
2017,Competitive,4297.066666666667
1994,Competitive,166.1
2001,Competitive,33.61666666666667
2012,Conspiracy,65733.86666666667
2010,Conspiracy,52990.933333333334
2011,Conspiracy,37819.833333333336
2017,Conspiracy,27656.5
2008,Conspiracy,14542.783333333333
2016,Conspiracy,12575.683333333332
2000,Conspiracy,9431.216666666667
2014,Conspiracy,1663.4333333333334
2015,Conspiracy,753.15
2004,Conspiracy,668.6833333333333
1997,Conspiracy,228.28333333333333
2013,Conspiracy,15.883333333333333
2015,Controller,161913.76666666666
2012,Controller,161806.66666666666
2010,Controller,143600.48333333334
2013,Controller,125800.08333333333
2017,Controller,107534.05
2014,Controller,57575.76666666666
2016,Controller,53728.083333333336
2007,Controller,40574.916666666664
2011,Controller,37819.833333333336
2009,Controller,35220.36666666667
2008,Controller,23189.9
2006,Controller,1157.6
2010,Conversation,32366.666666666668
2016,Conversation,22.833333333333332
2013,Conversation,15.883333333333333
