genres,app_name,price,item_id,developer,año
"['Action', 'Indie']",Orbitality,9.99,753100,Wonderbox Games,2017
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,1.99,764280,Mad Unicorn Games,2017
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,0.99,758550,Emanon Studios,2017
"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",Advent Rising,9.99,3800,GlyphX Games,2005
"['Indie', 'Strategy', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",DEFCON,9.99,1520,Introversion Software,2006
"['Action', 'Indie', 'RPG', 'Singleplayer', 'FPS']",The Ship: Single Player,9.99,2420,Outerlight Ltd.,2006
"['Indie', 'Simulation', 'Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",Garry's Mod,9.99,4000,Facepunch Studios,2006
"['Racing', 'Simulation']",RACE - The WTCC Game,39.99,4230,SimBin,2006
"['Casual', 'Indie', 'Puzzle']",Zen of Sudoku,0.0,4900,Unknown Worlds Entertainment,2006
"['Casual', 'Indie', 'Singleplayer']",Gumboy - Crazy Adventures™,4.99,2520,"CINEMAX, s.r.o.",2006
"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",Ghost Master®,4.99,6200,Sick Puppies,2003
"['Strategy', 'Simulation', 'Management']",Vegas: Make It Big™,4.99,6210,Deepred,2006
"['Adventure', 'RPG', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",Dreamfall: The Longest Journey,19.99,6300,Funcom,2006
"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",FlatOut 2™,9.99,2990,Bugbear Entertainment,2006
"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",FlatOut,7.49,6220,Bugbear Entertainment,2005
"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",Lost Planet™: Extreme Condition,14.99,6510,"CAPCOM Co., Ltd.",2007
"['Strategy', 'City Builder', 'Simulation', 'Rome']",CivCity: Rome,9.99,3980,"FireFly Studios,Firaxis Games",2006
"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",Arx Fatalis,4.99,1700,Arkane Studios,2002
"['Action', 'Adventure', 'RPG', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'Great Soundtrack', 'Third Person']",The Longest Journey,9.99,6310,Funcom,2000
"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",Civilization IV®: Warlords,4.99,3990,Firaxis Games,2006
"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",Railroad Tycoon 3,9.99,7610,PopTop,2003
"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",Sid Meier's Railroads!,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006
"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",Railroad Tycoon II Platinum,4.99,7620,PopTop,1998
"['Casual', 'Indie', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",RIP - Trilogy™,4.99,2540,Elephant Games,2007
"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",X-COM: Terror From the Deep,4.99,7650,"MicroProse Software, Inc",1995
"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",Tomb Raider: Anniversary,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",Devil May Cry® 3 Special Edition,19.99,6550,"CAPCOM Co., Ltd.",2006
"['Action', 'Adventure', 'Point & Click', 'Comedy', 'Detective', 'Mystery', 'Episodic', 'Funny']",Sam & Max 101: Culture Shock,19.99,8200,Telltale Games,2006
"['Action', 'FPS', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",Final DOOM,4.99,2290,id Software,1996
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,19.99,8210,Telltale Games,2006
"['Action', 'Classic', 'FPS', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",Ultimate Doom,4.99,2280,id Software,1995
"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",Master Levels for Doom II,14.99,9160,id Software,1995
"['Action', 'Classic', 'FPS', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",DOOM II,4.99,2300,id Software,1994
"['Action', 'FPS', 'Classic', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",Wolfenstein 3D,4.99,2270,id Software,1994
"['Action', 'FPS', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",Return to Castle Wolfenstein,4.99,9010,Gray Matter Studios,2001
"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",QUAKE Mission Pack 1: Scourge of Armagon,2.99,9040,Ritual Entertainment,1997
"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",Spear of Destiny,2.99,9000,id Software,1993
"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",BloodRayne,9.99,3810,Terminal Reality,2003
"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",QUAKE Mission Pack 2: Dissolution of Eternity,2.99,9030,Rogue Entertainment,2007
"['Action', 'FPS', 'Classic', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",QUAKE,4.99,2310,id Software,2007
"['Strategy', 'Space', 'Sci-fi', 'RTS']",Genesis Rising,4.99,3230,Metamorf,2007
"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']","Warhammer® 40,000: Dawn of War® – Winter Assault",12.99,9310,Relic Entertainment,2006
"['Action', 'RPG', 'FPS', 'Atmospheric', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",BioShock™,19.99,7670,"2K Boston,2K Australia",2007
"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",12.99,4570,Relic Entertainment,2006
"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']","Warhammer® 40,000: Dawn of War® - Dark Crusade",12.99,4580,Relic Entertainment,2006
"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",Rome: Total War™ - Collection,9.99,4760,The Creative Assembly,2004
"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",Rome: Total War™ - Alexander,4.99,4770,The Creative Assembly,2006
"['Casual', 'Hidden Object']",Mystery Case Files: Madame Fate®,6.99,50970,Big Fish Games,2007
"['Action', 'Gore', 'Stealth', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",Manhunt,9.99,12130,Rockstar North,2004
"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",Midnight Club 2,9.99,12160,Rockstar San Diego,2003
"['Action', 'Noir', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",Max Payne 2: The Fall of Max Payne,9.99,12150,Remedy Entertainment,2003
"['Action', 'Adventure', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",Tomb Raider: Legend,6.99,7000,Crystal Dynamics,2006
"['Action', 'Noir', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",Max Payne,9.99,12140,Remedy Entertainment,2001
"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",Command & Conquer: Red Alert 3,19.99,17480,EA Los Angeles,2008
"['Casual', 'Puzzle', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",PuzzleQuest: Challenge of the Warlords,9.99,12500,Infinite Interactive,2007
"['RPG', 'Casual', 'Adventure', 'Sci-fi', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",Culpa Innata,9.99,12310,Momentum Digital Media Technologies,2007
"['Strategy', 'Simulation']",Prison Tycoon 3™: Lockdown,9.99,12510,"Gamebryo,Virtual Playground",2007
"['Action', 'Adventure', 'Strategy', 'Hunting']",Hunting Unlimited™ 2008,9.99,12530,SCS Software,2007
"['Racing', 'Simulation', 'Driving', 'Open World']",18 Wheels of Steel: American Long Haul,9.99,12520,SCS Software,2007
"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",Conflict: Denied Ops,5.99,8100,Pivotal Games,2008
"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",ARMA: Combat Operations,7.99,2780,Bohemia Interactive,2007
"['Action', 'Western', 'Strategy', 'Tactical']",Desperados 2: Cooper's Revenge,9.99,9710,Spellbound,2006
"['Action', 'Adventure', 'Stealth', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",Death to Spies,4.99,9800,Haggard Games,2007
"['Action', 'Strategy', 'RTS']",Act of War: High Treason,2.99,9760,Eugen Systems,2006
"['Simulation', 'Strategy', 'Management', 'Sandbox', 'Building', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",RollerCoaster Tycoon® 3: Platinum,19.99,2700,"Frontier,Aspyr (Mac)",2006
"['Action', 'Strategy', 'RTS']",Act of War: Direct Action,2.99,2710,Eugen Systems,2005
"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",Unreal 2: The Awakening,14.99,13200,"Epic Games, Inc.",2003
"['Action', 'Classic', 'FPS', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",Unreal Gold,9.99,13250,"Epic Games, Inc.",1998
"['Casual', 'Indie', 'Ninja']",Ninja Reflex: Steamworks Edition,4.99,13000,Sanzaru Games,2008
"['Action', 'Stealth', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",Tom Clancy's Splinter Cell®,9.99,13560,Ubisoft,2003
"['Action', 'FPS', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",Far Cry®,9.99,13520,Crytek Studios,2004
"['Action', 'Classic', 'FPS', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",Unreal Tournament: Game of the Year Edition,9.99,13240,"Epic Games, Inc.",2000
"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",Tom Clancy's Rainbow Six® Vegas,9.99,13540,Ubisoft Montreal,2006
"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",Silent Hunter® III,9.99,15210,Ubisoft,2005
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,9.99,16180,Last Day of Work,2008
"['Casual', 'Hidden Object']",Mystery P.I.™ - The Vegas Heist,4.99,3520,SpinTop Games,2008
"['Casual', 'Match 3']",Luxor,9.99,15970,MumboJumbo,2008
"['Casual', 'Arcade']",Reaxxion,9.99,15950,MumboJumbo,2008
"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",Little Farm,9.99,15960,MumboJumbo,2008
"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",7 Wonders II,9.99,15900,MumboJumbo,2008
['Casual'],Luxor Amun Rising,9.99,15910,MumboJumbo,2005
"['Casual', 'Puzzle']",Luxor 3,9.99,15930,MumboJumbo,2007
"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",Petz® Horsez® 2,9.99,15160,Ubisoft,2007
['Casual'],Luxor 2,9.99,15920,MumboJumbo,2005
"['Action', 'Adventure', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",Rayman Raving Rabbids™,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
"['Simulation', 'World War II', 'Naval', 'Military']",Silent Hunter®: Wolves of the Pacific,9.99,15200,Ubisoft Romania,2007
"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",IL-2 Sturmovik: 1946,9.99,15320,1C: Maddox Games,2006
"['Simulation', 'World War II', 'Naval']",Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99,15240,Ubisoft Romania,2008
"['Adventure', 'Point & Click']",Bone: Out From Boneville,9.99,8310,Telltale Games,2005
['Racing'],Midnight Outlaw: 6 Hours to SunUp,9.99,12600,"Merscom,Babylon",2005
"['Adventure', 'Point & Click']",Bone: The Great Cow Race,9.99,8320,Telltale Games,2006
['Racing'],Sprint Cars Road to Knoxville,9.99,12590,BigAnt Studios,2008
['Casual'],Dr. Daisy Pet Vet,9.99,12580,Zemnott,2008
"['Simulation', 'Management']",Ride! Carnival Tycoon,9.99,12560,Gabriel Entertainment,2007
['Casual'],Hot Dish,9.99,12570,Zemnott,2008
"['Casual', 'Puzzle']",Mahjongg Investigations: Under Suspicion,9.99,12540,Zemnott,2007
"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",Dracula Origin,9.99,11050,Frogwares,2008
"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",Sherlock Holmes - Nemesis,9.99,11040,Frogwares,2008
"['Adventure', 'Indie', 'Platformer']",Eternity's Child,4.99,19500,"Luc Bernard,SilverSphereStudios",2008
"['Simulation', 'Strategy', 'World War II', 'Naval']",Pacific Storm Allies,7.99,11260,Lesta Studio,2007
"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",Tank Universal,4.99,19200,Dialogue Design,2008
"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",FlatOut: Ultimate Carnage,19.99,12360,Bugbear Entertainment,2008
"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",Oddworld: Abe's Exoddus®,2.99,15710,Oddworld Inhabitants,1998
"['Adventure', 'Platformer', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",Oddworld: Abe's Oddysee®,2.99,15700,Oddworld Inhabitants,1997
"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']",GTR Evolution Expansion Pack for RACE 07,7.99,8660,SimBin,2008
"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']",X-COM: Enforcer,4.99,7770,"MicroProse Software, Inc",2001
"['Strategy', 'Sci-fi', 'Tactical', 'Turn-Based', 'Aliens', 'Real-Time with Pause', 'Classic', 'Turn-Based Strategy', 'Isometric', 'Singleplayer', 'Cyberpunk', 'Post-apocalyptic']",X-COM: Apocalypse,4.99,7660,"MicroProse Software, Inc",1997
"['Strategy', 'Classic', 'Turn-Based Strategy', 'Sci-fi', 'Turn-Based', 'Tactical', 'Aliens', 'Singleplayer', 'Difficult', 'Turn-Based Tactics', 'Isometric', 'Base Building', 'Simulation', 'Atmospheric', ""1990's"", 'Action', 'Retro', 'Adventure', 'Management', 'Space']",X-COM: UFO Defense,4.99,7760,"MicroProse Software, Inc",1993
"['Action', 'RPG', 'Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']",S.T.A.L.K.E.R.: Clear Sky,9.99,20510,GSC Game World,2008
"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",Crysis Warhead®,19.99,17330,Crytek,2008
"['Action', 'FPS', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']",Crysis,19.99,17300,Crytek,2007
"['Strategy', 'Sci-fi', 'Space', 'Flight', 'Space Sim', 'Singleplayer']",X-COM: Interceptor,4.99,7730,"MicroProse Software, Inc",1998
"['Action', 'RPG', 'Fantasy', 'Story Rich', 'Mature', 'Third Person', 'Singleplayer', 'Choices Matter', 'Nudity', 'Adventure', 'Dark Fantasy', 'Based On A Novel', 'Atmospheric', 'Great Soundtrack', 'Open World', 'Multiple Endings', 'Medieval', 'Action RPG', 'Magic', 'Classic']",The Witcher: Enhanced Edition Director's Cut,9.99,20900,CD PROJEKT RED,2008
"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']",Multiwinia,9.99,1530,Introversion Software,2008
"['Racing', 'Simulation']",STCC - The Game 1 - Expansion Pack for RACE 07,2.99,8690,SimBin,2008
"['Strategy', 'Simulation', 'City Builder', 'Management', 'Historical', 'Singleplayer', 'Sandbox']",Children of the Nile: Alexandria,2.49,17120,"Tilted Mill Entertainment, Inc.",2008
