user_id,posted,item_id,recommend,sentiment_analysis
76561198170198366,Posted January 18.,271290,True,2
diego9031,Posted July 30.,4000,True,1
diego9031,Posted July 28.,317360,True,1
diego9031,"Posted December 5, 2015.",223710,True,1
diego9031,"Posted October 4, 2015.",299360,True,1
diego9031,"Posted October 3, 2015.",322330,True,1
diego9031,"Posted August 13, 2015.",1250,True,1
diego9031,"Posted February 22, 2015.",12100,True,1
diego9031,"Posted January 14, 2015.",204360,True,1
diego9031,"Posted December 14, 2013.",440,True,1
diego9031,"Posted December 1, 2013.",224260,True,1
jarrodtrim,"Posted February 11, 2012.",440,True,2
76561198078738103,Posted February 20.,304930,True,2
76561198067936203,"Posted March 12, 2015.",440,True,2
76561198079770573,"Posted October 14, 2015.",1840,True,1
76561198087586464,"Posted October 27, 2013.",440,True,2
Derp-e,"Posted November 27, 2015.",440,True,2
76561198070194565,"Posted October 9, 2014.",233250,True,1
76561198070194565,Posted May 7.,449140,True,1
76561198070194565,Posted May 7.,368730,True,1
76561198070194565,Posted April 4.,246280,True,1
76561198070194565,Posted March 30.,427270,True,2
76561198070194565,Posted March 28.,397100,True,1
76561198070194565,"Posted November 9, 2015.",248570,True,1
Rivtex,"Posted December 23, 2015.",298630,True,1
UTNerd24,"Posted May 6, 2014.",244210,True,2
UTNerd24,"Posted December 2, 2015.",440,True,1
UTNerd24,"Posted June 6, 2015.",376920,True,2
UTNerd24,"Posted September 29, 2015.",257750,True,1
UTNerd24,"Posted September 8, 2014.",221910,True,1
UTNerd24,"Posted December 15, 2013.",2280,True,0
sandwiches1,"Posted November 23, 2015.",417860,False,1
76561198138053270,"Posted June 1, 2014.",218620,True,2
lucaswerg,"Posted July 11, 2014.",218620,True,2
lucaswerg,"Posted November 14, 2014.",222880,True,1
Life-Of-Blu,"Posted November 13, 2015.",377160,True,2
Life-Of-Blu,"Posted December 15, 2013.",211820,True,2
CaptianAutismo,"Posted December 17, 2015.",252490,True,1
76561198075895633,"Posted October 26, 2014.",440,True,2
TheDropix101,Posted January 11.,242920,True,2
kube134,"Posted June 28, 2014.",251990,True,1
iamthekingofbrowntown,"Posted September 12, 2015.",344760,False,0
iamthekingofbrowntown,"Posted September 13, 2015.",252950,True,1
iamthekingofbrowntown,Posted April 20.,236430,True,2
iamthekingofbrowntown,"Posted October 14, 2015.",399730,True,1
MainScout,Posted February 26.,550,True,1
yookobz,"Posted November 19, 2015.",377160,True,2
yookobz,"Posted June 25, 2013.",219150,True,2
Posiblydead,"Posted April 11, 2014.",277430,True,2
Posiblydead,"Posted February 22, 2014.",239820,True,2
Posiblydead,"Posted September 24, 2012.",17410,True,2
Mossy_Gaming,"Posted September 26, 2015.",440,True,2
76561198102421718,"Posted June 12, 2015.",270550,True,2
76561198102421718,"Posted August 3, 2015.",274940,True,2
76561198102421718,"Posted June 26, 2015.",333930,True,1
76561198087407319,"Posted January 15, 2014.",440,True,1
76561198056741844,"Posted October 14, 2014.",730,True,1
sad-commie,Posted August 31.,294100,True,0
sad-commie,"Posted July 9, 2014.",212070,True,1
sad-commie,"Posted March 13, 2014.",264140,True,1
76561198030567998,"Posted November 11, 2014.",332800,True,1
76561198030567998,"Posted July 21, 2015.",319630,True,2
76561198030567998,"Posted July 5, 2015.",6020,True,0
76561198030567998,"Posted March 12, 2015.",55230,True,2
76561198030567998,"Posted February 23, 2014.",32430,True,2
76561198010674657,Posted March 27.,377160,False,2
76561198010674657,Posted January 15.,440,True,0
Coldaniel,"Posted March 22, 2015.",35450,True,2
Coldaniel,"Posted August 21, 2014.",440,True,1
Coldaniel,"Posted March 13, 2015.",236390,True,2
therealmorty,"Posted March 20, 2015.",351570,True,1
therealmorty,"Posted March 7, 2015.",212680,True,0
Berserklejerker,"Posted October 10, 2015.",391540,True,2
76561198061730629,"Posted July 6, 2014.",550,True,1
YoHuNz,"Posted June 19, 2014.",440,True,1
YoHuNz,"Posted February 19, 2014.",570,True,1
possessioniskey,"Posted April 11, 2015.",72850,True,2
possessioniskey,"Posted December 24, 2015.",440,True,2
possessioniskey,"Posted May 17, 2014.",113400,True,2
76561198093112529,"Posted August 9, 2014.",440,True,1
76561198060447950,"Posted September 26, 2015.",200510,True,1
whiteofwolfing,"Posted May 22, 2015.",730,True,2
sergarino,"Posted August 22, 2015.",383080,True,1
76561198081962345,Posted May 26.,200210,True,1
76561198081962345,"Posted April 5, 2014.",1250,True,1
76561198073210139,Posted January 18.,304050,True,1
Nozomikat,"Posted December 30, 2015.",265610,True,1
Nozomikat,"Posted August 1, 2014.",264200,True,1
Nozomikat,"Posted December 26, 2015.",417860,True,1
Nozomikat,"Posted April 14, 2015.",333600,True,2
Nozomikat,"Posted December 30, 2014.",213670,True,2
Nozomikat,"Posted December 4, 2013.",91310,True,2
Nozomikat,Posted August 19.,437220,False,0
Nozomikat,"Posted December 4, 2013.",210770,True,1
xfluttersx,"Posted November 10, 2015.",351640,True,2
xfluttersx,Posted September 14.,202530,False,2
xfluttersx,"Posted August 27, 2012.",105600,True,2
xfluttersx,"Posted February 5, 2014.",440,True,2
xfluttersx,"Posted January 27, 2013.",47870,True,2
xfluttersx,"Posted August 25, 2015.",383080,True,1
xfluttersx,"Posted August 27, 2012.",410,True,2
76561198056290589,"Posted December 16, 2014.",730,True,2
ii_voltage_ii,"Posted June 29, 2014.",253710,False,2
ii_voltage_ii,"Posted April 11, 2015.",339280,True,2
ii_voltage_ii,"Posted March 8, 2014.",271290,True,2
ii_voltage_ii,"Posted November 16, 2013.",203290,True,2
76561198097762318,"Posted November 11, 2015.",440,True,1
76561198097762318,"Posted December 26, 2014.",233150,True,1
Hirukaz,"Posted January 17, 2013.",550,True,1
StelerForYou,"Posted July 17, 2015.",730,True,2
StelerForYou,"Posted December 29, 2013.",211820,True,2
76561198183396245,"Posted May 6, 2015.",440,True,2
Xx-Woods,Posted July 20.,346330,False,1
Xx-Woods,"Posted January 26, 2015.",224260,True,2
Xx-Woods,"Posted November 16, 2014.",317360,True,1
Xx-Woods,"Posted August 17, 2014.",295550,True,1
Xx-Woods,"Posted July 21, 2014.",250180,True,1
Xx-Woods,"Posted July 19, 2014.",227940,True,1
Xx-Woods,"Posted February 8, 2014.",17520,True,1
Xx-Woods,"Posted January 7, 2014.",113420,True,1
kevinator23,"Posted July 6, 2015.",320760,True,1
kevinator23,"Posted September 6, 2015.",8850,True,2
kevinator23,"Posted April 24, 2014.",233720,True,2
kevinator23,"Posted July 6, 2015.",218620,True,1
kevinator23,"Posted January 27, 2015.",730,True,2
kevinator23,"Posted January 25, 2015.",219740,True,1
kevinator23,"Posted May 24, 2014.",220240,True,2
kevinator23,"Posted October 20, 2012.",440,True,1
76561198090715178,"Posted March 28, 2014.",4000,True,2
76561198090715178,"Posted July 9, 2014.",304930,True,2
CatsWhale,"Posted February 23, 2015.",333950,True,2
CatsWhale,"Posted August 29, 2015.",388520,True,2
CatsWhale,"Posted November 23, 2014.",107410,True,2
CatsWhale,"Posted September 9, 2014.",206210,True,1
76561198073784601,"Posted March 26, 2015.",221100,True,2
76561198073784601,Posted July 8.,299740,False,1
mimimomoma,"Posted November 23, 2015.",730,True,1
76561198102410011,"Posted September 14, 2015.",440,True,1
de_Butl3r,"Posted October 13, 2014.",209870,True,2
76561198027947401,Posted July 23.,322170,True,2
76561198027947401,Posted February 20.,304050,True,2
Bluezap1,"Posted December 27, 2015.",440,True,1
Bluezap1,"Posted May 13, 2015.",730,True,1
Bluezap1,"Posted December 27, 2015.",362890,True,2
Bluezap1,"Posted December 21, 2015.",413850,True,1
76561198074200011,"Posted November 15, 2015.",730,True,2
jonasdbomb,Posted September 9.,346110,True,2
L1J1N,"Posted June 13, 2014.",570,True,2
Lord_Exploit,"Posted March 13, 2015.",311560,True,2
Lord_Exploit,"Posted January 7, 2015.",322170,True,2
AVATAR715,"Posted January 2, 2014.",48240,False,1
AVATAR715,"Posted November 18, 2015.",440,True,2
AVATAR715,"Posted June 1, 2014.",248570,True,1
AVATAR715,"Posted March 18, 2014.",264140,True,2
AVATAR715,"Posted February 16, 2014.",4000,True,2
AVATAR715,"Posted February 25, 2015.",266430,True,2
AVATAR715,"Posted August 15, 2015.",316010,True,2
AVATAR715,"Posted December 25, 2014.",249570,True,2
YieuwMage,Posted February 22.,730,True,2
76561198078752187,"Posted December 16, 2014.",240,True,1
A-Very-Sly-Person,"Posted August 14, 2015.",304930,True,1
A-Very-Sly-Person,"Posted November 11, 2014.",440,True,1
76561198211054671,Posted May 29.,730,True,1
76561198211054671,Posted July 3.,333930,True,0
76561197994493402,Posted June 20.,365590,True,2
76561197994493402,"Posted March 1, 2015.",264200,True,2
76561197994493402,"Posted November 27, 2014.",440,True,2
Koolcaz12,Posted May 17.,298050,False,1
76561198065656175,"Posted November 20, 2015.",383080,True,2
76561198188979775,Posted September 17.,440,True,1
97396295,"Posted August 23, 2014.",301520,True,2
97396295,"Posted June 17, 2014.",243870,True,2
97396295,"Posted July 10, 2014.",218230,False,0
97396295,Posted August 26.,291550,False,1
76561198126640317,"Posted June 15, 2015.",251570,True,2
76561198126640317,"Posted February 14, 2015.",221100,True,2
76561198126640317,"Posted September 12, 2015.",316010,True,2
76561198126640317,"Posted September 12, 2015.",218230,True,0
76561198126640317,"Posted July 1, 2015.",333930,True,2
76561198126640317,"Posted July 1, 2015.",222880,True,2
76561198126640317,"Posted June 15, 2015.",730,True,2
DemonicWolvz,"Posted January 15, 2015.",55230,True,2
DemonicWolvz,"Posted April 29, 2015.",232090,True,2
DemonicWolvz,"Posted March 29, 2015.",4000,True,1
DemonicWolvz,"Posted November 23, 2014.",206420,True,1
DemonicWolvz,"Posted February 12, 2014.",224260,True,1
DemonicWolvz,"Posted December 26, 2013.",550,True,2
DieMadchenschanderin,"Posted August 29, 2015.",346110,True,2
DieMadchenschanderin,"Posted October 5, 2015.",380770,False,1
DieMadchenschanderin,Posted June 29.,454890,True,1
DieMadchenschanderin,"Posted June 14, 2013.",227680,False,2
GGargula,Posted September 4.,570,False,1
GGargula,"Posted November 23, 2015.",233250,True,1
Myther43,Posted July 16.,273350,True,2
getf0kinn0sc0pedm9,"Posted May 31, 2015.",730,True,0
getf0kinn0sc0pedm9,Posted June 26.,440,False,0
76561198141443390,"Posted May 3, 2015.",730,True,2
76561198097333029,Posted June 14.,570,True,1
whodafuqisthisguilao,"Posted August 6, 2015.",730,True,2
Magjiikal,"Posted October 5, 2015.",370480,True,2
Magjiikal,"Posted December 17, 2015.",313740,True,2
ohnospaghet,"Posted December 17, 2014.",1840,True,1
ohnospaghet,"Posted September 30, 2014.",440,True,0
ohnospaghet,"Posted March 10, 2015.",266210,True,2
ohnospaghet,Posted January 16.,369200,True,1
ohnospaghet,Posted March 5.,252490,False,1
ohnospaghet,"Posted March 10, 2015.",264200,True,2
76561198050347115,Posted March 19.,292030,True,0
2768820078,"Posted September 1, 2015.",287700,True,1
2768820078,Posted April 19.,730,False,1
2768820078,Posted April 18.,310950,True,1
2768820078,"Posted November 18, 2015.",377160,True,1
2768820078,"Posted August 8, 2015.",221380,True,1
2768820078,"Posted July 15, 2015.",333950,True,1
2768820078,"Posted June 12, 2015.",222420,False,1
2768820078,"Posted May 19, 2015.",271590,True,1
2768820078,"Posted May 11, 2015.",298110,True,1
2768820078,"Posted May 2, 2015.",222440,True,1
76561198056392326,Posted February 7.,259530,True,1
76561198056392326,Posted January 30.,219640,False,1
76561198056392326,Posted January 30.,269210,False,1
2d4nk4m3,"Posted August 20, 2014.",317470,False,1
2d4nk4m3,"Posted March 18, 2014.",47410,True,1
76561198078478151,Posted April 10.,730,True,1
exiaez,Posted September 15.,365450,True,1
76561198095921854,"Posted May 1, 2015.",245620,True,1
EizanAratoFujimaki,"Posted October 28, 2015.",70,True,1
EizanAratoFujimaki,Posted April 15.,359550,False,1
TeCool,"Posted December 15, 2014.",274980,True,2
TeCool,"Posted December 6, 2014.",202090,True,2
TeCool,"Posted April 11, 2015.",339280,True,2
TeCool,"Posted January 31, 2015.",314130,False,0
2xDelorean,"Posted September 13, 2015.",570,True,1
2xDelorean,"Posted July 26, 2013.",212680,True,2
2xDelorean,"Posted May 18, 2013.",200210,True,2
2xDelorean,"Posted October 30, 2011.",440,True,2
washington_,Posted August 19.,440,False,2
washington_,Posted August 19.,4000,True,1
washington_,Posted August 19.,211820,True,1
washington_,Posted August 19.,10180,True,1
washington_,Posted August 19.,252490,True,1
washington_,"Posted December 13, 2015.",417860,True,1
jewxxl,"Posted May 18, 2015.",251970,True,1
76561198088944293,Posted June 22.,359550,True,1
76561198088944293,Posted July 14.,107410,True,1
76561198088944293,Posted June 27.,218230,False,1
76561198088944293,Posted March 8.,437701,False,1
76561198088944293,"Posted December 13, 2014.",304930,True,1
76561198092540221,"Posted July 31, 2015.",400,True,2
76561198092540221,"Posted June 29, 2015.",620,True,2
76561198092540221,"Posted June 29, 2015.",238460,True,2
76561198092540221,"Posted February 12, 2015.",6060,True,2
76561198092540221,"Posted March 29, 2014.",440,True,2
76561198051258119,"Posted February 4, 2015.",730,True,2
nubquake123,"Posted April 21, 2014.",265610,True,2
Pyromanic,"Posted February 15, 2013.",31280,True,1
Pyromanic,"Posted February 15, 2013.",4000,True,2
Pyromanic,"Posted February 15, 2013.",240,True,1
76561198109656922,Posted March 27.,440,True,2
CobRazor,"Posted August 1, 2015.",252490,True,1
relesprit,"Posted December 27, 2013.",8930,True,2
WitchHunter4542,"Posted July 16, 2014.",304930,True,2
WitchHunter4542,"Posted January 13, 2015.",237310,True,1
WitchHunter4542,"Posted January 11, 2014.",224260,True,1
pwrt,"Posted September 3, 2015.",230410,True,2
pwrt,"Posted January 20, 2014.",440,True,2
wantmahbody,"Posted May 3, 2014.",440,True,2
76561198115868847,Posted May 1.,219640,False,0
benedictcuminherbatch,"Posted August 2, 2014.",570,True,1
76561198031207016,"Posted March 17, 2014.",8930,True,2
76561198043458582,"Posted July 19, 2015.",105600,True,2
76561198043458582,"Posted May 26, 2015.",221100,True,2
76561198043458582,"Posted November 22, 2015.",107410,True,1
76561198043458582,"Posted October 18, 2014.",231430,True,2
smashiroshh,"Posted December 30, 2014.",218620,True,1
shark854,Posted March 7.,225540,True,2
killbunny38,"Posted January 22, 2015.",570,True,2
killbunny38,"Posted August 20, 2015.",333930,False,1
76561198047630659,"Posted May 14, 2015.",230410,False,2
1337lolroflmao,"Posted April 13, 2015.",271590,True,1
1337lolroflmao,"Posted October 1, 2014.",218620,True,0
1337lolroflmao,"Posted December 28, 2013.",219740,True,0
1337lolroflmao,"Posted December 28, 2013.",7940,True,2
1337lolroflmao,"Posted November 30, 2014.",234190,True,2
1337lolroflmao,"Posted December 28, 2013.",10180,True,2
1337lolroflmao,"Posted December 28, 2013.",33900,True,2
1337lolroflmao,"Posted January 5, 2015.",261030,True,1
1337lolroflmao,"Posted December 23, 2014.",243470,True,0
sithjjf,"Posted September 1, 2015.",302830,False,0
76561198060039459,"Posted October 4, 2014.",570,False,1
OzfurAtlas,Posted January 10.,218620,False,1
OzfurAtlas,Posted September 12.,4700,True,1
OzfurAtlas,"Posted December 8, 2013.",212680,True,1
76561198065593074,"Posted November 6, 2015.",304930,False,1
76561198065593074,Posted June 25.,730,False,1
76561198065593074,"Posted September 23, 2015.",304050,True,2
76561198065593074,"Posted May 31, 2014.",203750,True,2
76561198044169764,"Posted June 24, 2015.",227940,False,2
76561198044169764,"Posted July 22, 2015.",355180,False,1
76561198044169764,Posted March 20.,730,True,0
76561198044169764,"Posted June 3, 2015.",4000,True,1
euzi,"Posted July 26, 2014.",236390,True,2
76561198074935997,Posted May 15.,221100,False,0
76561198074935997,Posted May 13.,365590,False,1
76561198074935997,Posted July 10.,299740,True,2
76561198074935997,Posted September 17.,346110,False,2
76561198074935997,Posted August 16.,275850,False,2
76561198074935997,Posted July 31.,400800,False,0
76561198074935997,Posted June 29.,252490,False,2
76561198074935997,Posted March 6.,437220,False,1
76561197961778802,"Posted April 23, 2014.",730,True,2
lucasrash,Posted September 8.,440,True,1
76561198016602703,Posted September 2.,301520,False,0
76561198016602703,Posted July 23.,433340,True,2
thisissohardtomakeoneup,"Posted April 12, 2014.",440,True,1
76561198087010391,"Posted April 4, 2015.",4000,True,2
66666669999999,"Posted January 5, 2015.",302830,False,1
76561198061174192,"Posted September 14, 2014.",220200,True,2
76561198061174192,"Posted September 14, 2014.",242760,True,0
ReMiXOfficalSteam,"Posted October 12, 2015.",352460,True,2
Wilfire77,"Posted March 22, 2015.",322920,True,2
76561198084390807,"Posted December 1, 2015.",234792,True,1
76561198084390807,"Posted May 10, 2014.",252490,True,2
Mastic,"Posted August 1, 2015.",304050,False,1
Mastic,Posted June 29.,297130,True,2
Mastic,Posted March 25.,397570,True,0
Mastic,"Posted December 30, 2014.",550,True,2
Mastic,"Posted December 27, 2014.",206420,True,2
Mastic,Posted July 7.,278360,False,2
76561198028286104,"Posted December 26, 2013.",10180,True,2
tarjla,Posted August 26.,242760,True,2
tarjla,"Posted July 13, 2014.",304930,True,2
tarjla,Posted August 26.,441790,True,2
tarjla,"Posted January 28, 2015.",265750,True,2
tarjla,"Posted May 8, 2014.",252490,True,2
tarjla,"Posted November 21, 2013.",4000,True,2
tarjla,"Posted December 7, 2013.",211820,True,2
tarjla,"Posted February 9, 2013.",105600,True,2
tarjla,Posted August 26.,251570,True,2
tarjla,"Posted January 9, 2014.",730,True,2
deathnz1,Posted July 18.,233110,False,1
deathnz1,Posted July 16.,322910,False,1
deathnz1,"Posted December 26, 2014.",276340,True,2
readingthis4noobs,Posted May 14.,227940,True,1
76561198104393251,"Posted March 13, 2015.",304930,True,1
76561198075322986,Posted March 30.,730,True,1
redsncrimson,Posted June 18.,448530,True,2
redsncrimson,Posted March 20.,304410,True,2
redsncrimson,Posted March 20.,620,True,2
redsncrimson,"Posted December 23, 2014.",274920,True,1
redsncrimson,"Posted December 26, 2013.",211820,True,2
redsncrimson,Posted March 20.,219890,True,1
redsncrimson,"Posted May 18, 2013.",49520,True,2
redsncrimson,"Posted January 9, 2013.",223510,True,2
redsncrimson,"Posted November 30, 2012.",440,True,2
76561198151910904,Posted April 22.,252950,True,1
H1DD3NT3RR0R,"Posted March 10, 2014.",240,True,2
H1DD3NT3RR0R,"Posted February 27, 2014.",105600,True,2
H1DD3NT3RR0R,"Posted November 25, 2013.",204300,True,2
H1DD3NT3RR0R,"Posted June 11, 2014.",730,True,0
H1DD3NT3RR0R,"Posted September 4, 2015.",440,False,0
H1DD3NT3RR0R,"Posted June 18, 2014.",570,True,0
76561198071214618,"Posted May 11, 2015.",268750,True,2
76561198115115631,"Posted May 22, 2015.",570,True,2
76561198071175142,"Posted August 10, 2015.",570,True,1
76561198071175142,"Posted July 7, 2015.",271590,True,2
t8s,"Posted May 13, 2015.",360870,True,2
t8s,"Posted May 2, 2015.",730,True,2
pikawuu2,Posted March 12.,230410,True,1
pikawuu2,"Posted September 15, 2013.",12900,True,2
Sammeh00,"Posted November 4, 2014.",301520,True,2
Michaelele,"Posted August 7, 2014.",6060,True,2
Michaelele,"Posted June 30, 2014.",730,True,2
Michaelele,"Posted August 21, 2014.",107410,True,2
Michaelele,"Posted July 16, 2014.",304930,True,2
76561198045754869,"Posted August 7, 2015.",335670,True,1
76561198076098774,"Posted August 2, 2015.",215080,True,1
76561198103253374,"Posted February 24, 2014.",570,True,1
76561198048417105,"Posted December 28, 2015.",271590,True,2
76561198048417105,"Posted February 27, 2015.",730,True,2
76561198048417105,Posted August 13.,244160,True,2
76561198048417105,Posted February 14.,270880,True,2
76561198090842891,"Posted January 16, 2015.",8190,True,2
76561198055767971,"Posted June 10, 2015.",247730,False,0
76561197998052647,"Posted November 27, 2014.",233630,True,1
adohya343,Posted February 24.,303390,False,1
76561198145436942,"Posted August 2, 2014.",221100,True,2
jjas01,"Posted November 3, 2014.",208812,False,1
jjas01,"Posted October 17, 2015.",218620,False,2
jjas01,"Posted October 8, 2013.",243120,True,2
jjas01,"Posted December 28, 2015.",234140,True,1
jjas01,"Posted May 8, 2014.",204450,True,2
jjas01,"Posted February 18, 2014.",225260,True,2
jjas01,"Posted October 27, 2013.",50300,True,2
jjas01,"Posted June 4, 2014.",201810,True,2
jjas01,Posted July 9.,212630,False,0
jjas01,Posted March 2.,427820,False,1
3xotic26,"Posted February 26, 2014.",500,True,2
3xotic26,"Posted February 26, 2014.",440,True,2
3xotic26,"Posted February 26, 2014.",49520,True,2
3xotic26,"Posted July 15, 2013.",550,True,2
iamthetrashlord,"Posted June 16, 2015.",206420,True,1
iamthetrashlord,"Posted July 20, 2014.",213670,True,2
3dster,"Posted August 24, 2015.",550,True,1
76561198079990063,"Posted March 14, 2014.",231040,True,2
Forty-Nine,"Posted August 28, 2014.",221100,True,0
Forty-Nine,Posted January 11.,376300,False,2
76561198051017916,"Posted May 30, 2015.",351040,True,1
76561198051017916,"Posted May 26, 2014.",250600,True,1
L4M1NAS,Posted August 15.,227940,True,2
L4M1NAS,Posted March 25.,437220,True,2
L4M1NAS,"Posted March 5, 2015.",221100,True,2
76561198096766604,Posted July 16.,301520,False,2
76561197995322437,"Posted July 23, 2015.",264710,True,2
imsojipper,"Posted July 7, 2014.",218620,True,2
76561198084542731,"Posted January 16, 2015.",206420,True,1
76561198084542731,"Posted February 16, 2014.",47790,True,2
76561198103671881,"Posted April 11, 2015.",570,True,2
mrpfresh,Posted August 22.,236110,True,0
mrpfresh,"Posted October 16, 2015.",346110,True,1
mrpfresh,Posted January 9.,232790,True,1
GamerFag,"Posted July 15, 2012.",440,True,2
GamerFag,"Posted January 27, 2011.",70,True,0
GamerFag,"Posted January 27, 2011.",420,True,1
GamerFag,"Posted January 27, 2011.",380,True,2
GamerFag,"Posted January 27, 2011.",220,True,1
GamerFag,"Posted December 16, 2010.",1250,True,2
EHS-R3AP3R,"Posted September 9, 2015.",339230,False,1
EHS-R3AP3R,"Posted October 15, 2015.",349700,True,2
EHS-R3AP3R,"Posted November 26, 2013.",226700,True,1
EHS-R3AP3R,"Posted December 12, 2013.",209160,True,1
chidori_647,"Posted December 15, 2013.",219990,True,1
chidori_647,"Posted March 5, 2014.",213670,True,2
chidori_647,"Posted November 30, 2013.",21100,False,0
chidori_647,"Posted December 2, 2013.",8190,True,1
chidori_647,"Posted November 28, 2013.",215470,False,1
76561198092227136,"Posted September 11, 2014.",730,True,1
76561198092227136,"Posted May 26, 2014.",1250,True,1
hellcat59,"Posted July 18, 2014.",4000,True,2
76561198007584361,"Posted September 10, 2015.",401650,True,0
tbimperator,"Posted May 22, 2012.",35450,True,2
Allahu_Akbar666,"Posted January 17, 2015.",230410,True,2
Allahu_Akbar666,"Posted October 24, 2014.",304930,False,0
ulramite,"Posted October 27, 2014.",290020,True,2
ulramite,"Posted February 8, 2014.",248860,True,0
ulramite,Posted July 24.,211820,True,1
-GM-Dragon,"Posted March 8, 2014.",226700,False,0
-GM-Dragon,"Posted June 10, 2015.",244850,True,2
76561198054040292,"Posted March 13, 2015.",298260,True,2
76561198078799606,"Posted October 1, 2015.",370240,False,0
76561198078799606,"Posted June 29, 2015.",730,True,2
